Subject,Book Title,ISBN / Barcode
Data Structures,Fundamentals of Data Structures,9787117326711
Basics of Electrical and Electronics Engineering,Principles of Basics of Electrical and Electronics Engineering,9785303857155
Engineering Graphics,Essentials of Engineering Graphics,9782300429484
Problem Solving through Programming,Advanced Problem Solving through Programming,9784319569960
Linear Algebra and Ordinary Differential Equations,Introduction to Linear Algebra and Ordinary Differential Equations,9783566687199
Algebra,Modern Algebra,9789087225094
Object-Oriented Programming through Java,Principles of Object-Oriented Programming through Java,9785947067941
Data Structures,Advanced Data Structures,9784566656352
Probability and Statistics,Introduction to Probability and Statistics,9788019803416
Object-Oriented Programming through Java,Fundamentals of Object-Oriented Programming through Java,9784047251441
Artificial Intelligence,Handbook of Artificial Intelligence,9788906146725
Data Mining,Advanced Data Mining,9787110986868
Computer Networks,Fundamentals of Computer Networks,9780666422958
Design and Analysis of Algorithms,Advanced Design and Analysis of Algorithms,9783122906627
Object-Oriented Programming through Java,Concepts of Object-Oriented Programming through Java,9786241766301
Computer Organization and Architecture,Concepts of Computer Organization and Architecture,9789962494157
Linear Algebra and Ordinary Differential Equations,Practical Linear Algebra and Ordinary Differential Equations,9788353187562
Data Structures,Practical Data Structures,9785601763912
Object-Oriented Programming through Java,Introduction to Object-Oriented Programming through Java,9785787534535
Digital Logic Design,Fundamentals of Digital Logic Design,9787588164737
Web Technologies,Concepts of Web Technologies,9780480153885
Data Mining,Comprehensive Guide to Data Mining,9788126899159
English Proficiency and Communication Skills,Practical English Proficiency and Communication Skills,9786500553963
Design and Analysis of Algorithms,Advanced Design and Analysis of Algorithms,9784586729555
Object-Oriented Programming through Java,Fundamentals of Object-Oriented Programming through Java,9784649965418
Algebra,Principles of Algebra,9785997065706
Discrete Mathematical Structures,Introduction to Discrete Mathematical Structures,9788259841025
Cloud Computing,Concepts of Cloud Computing,9785672257440
Computer Networks,Practical Computer Networks,9789190207185
Computer Networks,Essentials of Computer Networks,9783756430642
Artificial Intelligence,Modern Artificial Intelligence,9780508384840
Semiconductor Physics and Electromagnetics,Principles of Semiconductor Physics and Electromagnetics,9784238387690
Discrete Mathematical Structures,Introduction to Discrete Mathematical Structures,9788831549233
Constitution of India,Modern Constitution of India,9782447092312
Cloud Computing,Advanced Cloud Computing,9782732107684
Numerical Methods,Essentials of Numerical Methods,9781890518318
Problem Solving through Programming,Handbook of Problem Solving through Programming,9788520859025
Big Data Analytics,Principles of Big Data Analytics,9781943778218
Theory of Computation,Advanced Theory of Computation,9780958055277
Design and Analysis of Algorithms,Comprehensive Guide to Design and Analysis of Algorithms,9784872077018
English Proficiency and Communication Skills,Fundamentals of English Proficiency and Communication Skills,9785056340676
Digital Logic Design,Concepts of Digital Logic Design,9785545635979
Artificial Intelligence,Modern Artificial Intelligence,9788969066756
Semiconductor Physics and Electromagnetics,Concepts of Semiconductor Physics and Electromagnetics,9786233339209
Problem Solving through Programming,Essentials of Problem Solving through Programming,9784046654571
Discrete Mathematical Structures,Principles of Discrete Mathematical Structures,9787701393624
Semiconductor Physics and Electromagnetics,Handbook of Semiconductor Physics and Electromagnetics,9787189436264
Constitution of India,Modern Constitution of India,9782907798938
Cloud Computing,Practical Cloud Computing,9783718781478
Discrete Mathematical Structures,Concepts of Discrete Mathematical Structures,9785254251781
Operating Systems,Modern Operating Systems,9785319466310
Management Science,Modern Management Science,9780241987957
Algebra,Handbook of Algebra,9785276895482
Data Structures,Principles of Data Structures,9789217992391
Data Mining,Modern Data Mining,9781064728734
Management Science,Concepts of Management Science,9785869761569
Computer Networks,Introduction to Computer Networks,9788414047163
Cloud Computing,Principles of Cloud Computing,9783949390531
Engineering Graphics,Advanced Engineering Graphics,9789267724706
Object-Oriented Programming through Java,Principles of Object-Oriented Programming through Java,9788423156900
Management Science,Handbook of Management Science,9781646791637
Computer Organization and Architecture,Concepts of Computer Organization and Architecture,9783051797587
Engineering Graphics,Advanced Engineering Graphics,9787841312264
Digital Logic Design,Handbook of Digital Logic Design,9788025615867
Operating Systems,Comprehensive Guide to Operating Systems,9786637723468
Constitution of India,Introduction to Constitution of India,9785638838874
Data Mining,Concepts of Data Mining,9789145442999
Engineering Graphics,Modern Engineering Graphics,9789822202663
English Proficiency and Communication Skills,Concepts of English Proficiency and Communication Skills,9785460213634
Semiconductor Physics and Electromagnetics,Essentials of Semiconductor Physics and Electromagnetics,9789134657861
Numerical Methods,Advanced Numerical Methods,9782311079722
Computer Networks,Principles of Computer Networks,9783971889621
Technical English Communication,Advanced Technical English Communication,9784460408668
Probability and Statistics,Essentials of Probability and Statistics,9786315299643
Data Structures,Modern Data Structures,9788640099226
Probability and Statistics,Principles of Probability and Statistics,9788396061362
Engineering Chemistry,Practical Engineering Chemistry,9781674251738
Probability and Statistics,Modern Probability and Statistics,9787090403034
Computer Organization and Architecture,Handbook of Computer Organization and Architecture,9783362512893
Semiconductor Physics and Electromagnetics,Principles of Semiconductor Physics and Electromagnetics,9783228398616
Numerical Methods,Advanced Numerical Methods,9782032667284
Database Management Systems,Essentials of Database Management Systems,9788458281431
Web Technologies,Introduction to Web Technologies,9785489144629
Problem Solving through Programming,Principles of Problem Solving through Programming,9781493178124
Discrete Mathematical Structures,Fundamentals of Discrete Mathematical Structures,9785689943008
Operating Systems,Comprehensive Guide to Operating Systems,9780500029381
Data Structures,Comprehensive Guide to Data Structures,9780014105632
Cloud Computing,Concepts of Cloud Computing,9785430862220
Probability and Statistics,Comprehensive Guide to Probability and Statistics,9785984794817
Environmental Studies,Comprehensive Guide to Environmental Studies,9783477596399
Algebra,Introduction to Algebra,9788591477319
Computer Organization and Architecture,Comprehensive Guide to Computer Organization and Architecture,9782060884448
Engineering Graphics,Principles of Engineering Graphics,9781643307213
Database Management Systems,Principles of Database Management Systems,9787396166787
Object-Oriented Programming through Java,Principles of Object-Oriented Programming through Java,9783257456622
Data Mining,Handbook of Data Mining,9783596051113
Semiconductor Physics and Electromagnetics,Essentials of Semiconductor Physics and Electromagnetics,9788568872178
Constitution of India,Principles of Constitution of India,9784631712297
Numerical Methods,Fundamentals of Numerical Methods,9789003696816
Computer Organization and Architecture,Fundamentals of Computer Organization and Architecture,9789844550414
Design and Analysis of Algorithms,Handbook of Design and Analysis of Algorithms,9786156915801
Numerical Methods,Principles of Numerical Methods,9785194097180
Semiconductor Physics and Electromagnetics,Modern Semiconductor Physics and Electromagnetics,9786594656366
Constitution of India,Advanced Constitution of India,9785075140776
Web Technologies,Introduction to Web Technologies,9784402739249
Numerical Methods,Modern Numerical Methods,9785919954552
Database Management Systems,Concepts of Database Management Systems,9782674106981
English Proficiency and Communication Skills,Modern English Proficiency and Communication Skills,9783601034216
