Subject,Book Title,Author,ISBN / Barcode
Probability and Statistics,Essentials of Probability and Statistics,Herbert Schildt,9788495066558
Probability and Statistics,Handbook of Probability and Statistics,Martin Fowler,9782711920129
Cloud Computing,Advanced Cloud Computing,Ken Thompson,9787655049158
Semiconductor Physics and Electromagnetics,Introduction to Semiconductor Physics and Electromagnetics,Dennis Ritchie,9785142658128
Object-Oriented Programming through Java,Principles of Object-Oriented Programming through Java,Bjarne Stroustrup,9789671637814
Basics of Electrical and Electronics Engineering,Handbook of Basics of Electrical and Electronics Engineering,Judea Pearl,9789249054357
Theory of Computation,Essentials of Theory of Computation,Mark Allen Weiss,9780618016938
Engineering Graphics,Essentials of Engineering Graphics,Herbert Schildt,9784482733137
Digital Logic Design,Handbook of Digital Logic Design,Judea Pearl,9780163777490
Basics of Electrical and Electronics Engineering,Introduction to Basics of Electrical and Electronics Engineering,Behrouz A. Forouzan,9780708843277
Semiconductor Physics and Electromagnetics,Introduction to Semiconductor Physics and Electromagnetics,Robert Lafore,9785493469374
Digital Logic Design,Introduction to Digital Logic Design,Ian Sommerville,9785478079994
Digital Logic Design,Handbook of Digital Logic Design,Dennis Ritchie,9783211012499
Web Technologies,Practical Web Technologies,Dennis Ritchie,9780890703885
Semiconductor Physics and Electromagnetics,Handbook of Semiconductor Physics and Electromagnetics,Martin Fowler,9784700647734
Theory of Computation,Principles of Theory of Computation,Tim Berners-Lee,9789511509387
Compiler Design,Principles of Compiler Design,Dennis Ritchie,9788786545137
Technical English Communication,Principles of Technical English Communication,Martin Fowler,9785065444655
Semiconductor Physics and Electromagnetics,Fundamentals of Semiconductor Physics and Electromagnetics,Behrouz A. Forouzan,9785802500248
Database Management Systems,Handbook of Database Management Systems,E. Balagurusamy,9788233660444
English Proficiency and Communication Skills,Fundamentals of English Proficiency and Communication Skills,Dennis Ritchie,9785687579759
Artificial Intelligence,Practical Artificial Intelligence,Dennis Ritchie,9782798429348
Object-Oriented Programming through Java,Comprehensive Guide to Object-Oriented Programming through Java,Dennis Ritchie,9780139698675
Computer Organization and Architecture,Principles of Computer Organization and Architecture,Ramez Elmasri,9787109568754
Operating Systems,Principles of Operating Systems,Robert Lafore,9788834989630
Big Data Analytics,Essentials of Big Data Analytics,Judea Pearl,9786061250905
Artificial Intelligence,Concepts of Artificial Intelligence,James F. Kurose,9780674199743
Big Data Analytics,Fundamentals of Big Data Analytics,Thomas H. Cormen,9784178483841
Algebra,Comprehensive Guide to Algebra,Bjarne Stroustrup,9787481018625
Engineering Chemistry,Essentials of Engineering Chemistry,Keith W. Ross,9785629442011
Probability and Statistics,Modern Probability and Statistics,E. Balagurusamy,9788365831385
Discrete Mathematical Structures,Principles of Discrete Mathematical Structures,Ian Sommerville,9789459751305
Technical English Communication,Introduction to Technical English Communication,Martin Fowler,9782713625817
Design and Analysis of Algorithms,Advanced Design and Analysis of Algorithms,Martin Fowler,9787735426749
Linear Algebra and Ordinary Differential Equations,Advanced Linear Algebra and Ordinary Differential Equations,Martin Fowler,9783590964273
English Proficiency and Communication Skills,Fundamentals of English Proficiency and Communication Skills,Ian Sommerville,9784512903288
Engineering Graphics,Principles of Engineering Graphics,H.K. Dass,9789292399252
Design and Analysis of Algorithms,Concepts of Design and Analysis of Algorithms,Mark Allen Weiss,9788852419409
Technical English Communication,Introduction to Technical English Communication,Gilbert Strang,9781818292283
Big Data Analytics,Comprehensive Guide to Big Data Analytics,Gilbert Strang,9788215678184
Engineering Chemistry,Advanced Engineering Chemistry,James F. Kurose,9786485969827
Computer Organization and Architecture,Modern Computer Organization and Architecture,Mark Allen Weiss,9787975651956
Data Structures,Fundamentals of Data Structures,Keith W. Ross,9786583878373
Web Technologies,Comprehensive Guide to Web Technologies,Robert Lafore,9789848663516
Numerical Methods,Comprehensive Guide to Numerical Methods,Herbert Schildt,9786980437210
Computer Organization and Architecture,Principles of Computer Organization and Architecture,Martin Fowler,9788674223321
Design and Analysis of Algorithms,Modern Design and Analysis of Algorithms,Tim Berners-Lee,9783840621574
Web Technologies,Practical Web Technologies,Shamkant Navathe,9783189625752
Digital Logic Design,Essentials of Digital Logic Design,Tim Berners-Lee,9787922988975
Semiconductor Physics and Electromagnetics,Modern Semiconductor Physics and Electromagnetics,E. Balagurusamy,9782603506448
Computer Organization and Architecture,Essentials of Computer Organization and Architecture,Brian Kernighan,9783415568068
Object-Oriented Programming through Java,Handbook of Object-Oriented Programming through Java,Thomas H. Cormen,9780439703208
Semiconductor Physics and Electromagnetics,Concepts of Semiconductor Physics and Electromagnetics,Abraham Silberschatz,9783497007196
Object-Oriented Programming through Java,Principles of Object-Oriented Programming through Java,Andrew S. Tanenbaum,9788926262610
Environmental Studies,Advanced Environmental Studies,Shamkant Navathe,9780297428268
Data Structures,Modern Data Structures,Bjarne Stroustrup,9781407157146
Linear Algebra and Ordinary Differential Equations,Handbook of Linear Algebra and Ordinary Differential Equations,Ramez Elmasri,9786910474421
Design and Analysis of Algorithms,Practical Design and Analysis of Algorithms,Ken Thompson,9788576437154
Environmental Studies,Modern Environmental Studies,James F. Kurose,9781431189878
Management Science,Advanced Management Science,Tom Mitchell,9785703202807
Computer Organization and Architecture,Advanced Computer Organization and Architecture,Abraham Silberschatz,9786192392338
Basics of Electrical and Electronics Engineering,Handbook of Basics of Electrical and Electronics Engineering,Erwin Kreyszig,9785234183279
Cloud Computing,Comprehensive Guide to Cloud Computing,Yashavant Kanetkar,9782995590995
Data Mining,Essentials of Data Mining,Behrouz A. Forouzan,9782026183820
Data Structures,Practical Data Structures,Ian Sommerville,9780298103287
Technical English Communication,Practical Technical English Communication,Shamkant Navathe,9787665944122
Engineering Graphics,Handbook of Engineering Graphics,Herbert Schildt,9780293342476
Technical English Communication,Practical Technical English Communication,Dennis Ritchie,9786868224994
Computer Networks,Essentials of Computer Networks,Thomas H. Cormen,9781500370725
Problem Solving through Programming,Principles of Problem Solving through Programming,H.K. Dass,9789251729755
English Proficiency and Communication Skills,Fundamentals of English Proficiency and Communication Skills,Dennis Ritchie,9788593906398
Data Structures,Introduction to Data Structures,E. Balagurusamy,9784463904938
Linear Algebra and Ordinary Differential Equations,Modern Linear Algebra and Ordinary Differential Equations,Ian Sommerville,9784163778167
Management Science,Handbook of Management Science,Erwin Kreyszig,9781685899264
Operating Systems,Advanced Operating Systems,Bjarne Stroustrup,9780527596989
Probability and Statistics,Essentials of Probability and Statistics,E. Balagurusamy,9789003785596
Operating Systems,Modern Operating Systems,Peter Norvig,9784305641557
Operating Systems,Principles of Operating Systems,Ramez Elmasri,9788346365588
Data Structures,Practical Data Structures,H.K. Dass,9787827733540
Data Structures,Advanced Data Structures,Donald E. Knuth,9786553801806
Linear Algebra and Ordinary Differential Equations,Advanced Linear Algebra and Ordinary Differential Equations,Brian Kernighan,9787524721444
Artificial Intelligence,Comprehensive Guide to Artificial Intelligence,Gilbert Strang,9783346903198
Data Structures,Essentials of Data Structures,Shamkant Navathe,9784896185096
Software Engineering,Handbook of Software Engineering,Thomas H. Cormen,9782068586726
Basics of Electrical and Electronics Engineering,Modern Basics of Electrical and Electronics Engineering,Herbert Schildt,9780352278739
Linear Algebra and Ordinary Differential Equations,Fundamentals of Linear Algebra and Ordinary Differential Equations,Thomas H. Cormen,9785894779591
Software Engineering,Comprehensive Guide to Software Engineering,E. Balagurusamy,9789606326035
Compiler Design,Fundamentals of Compiler Design,Judea Pearl,9786102077430
Management Science,Essentials of Management Science,Herbert Schildt,9785535686509
Data Mining,Concepts of Data Mining,H.K. Dass,9785694200288
Basics of Electrical and Electronics Engineering,Advanced Basics of Electrical and Electronics Engineering,Dennis Ritchie,9781597375146
Theory of Computation,Advanced Theory of Computation,Tom Mitchell,9780601354467
Web Technologies,Introduction to Web Technologies,Shamkant Navathe,9789918310777
English Proficiency and Communication Skills,Practical English Proficiency and Communication Skills,Donald E. Knuth,9789557463810
Cloud Computing,Concepts of Cloud Computing,Yashavant Kanetkar,9786026825704
Probability and Statistics,Introduction to Probability and Statistics,Erwin Kreyszig,9789962108993
Technical English Communication,Concepts of Technical English Communication,Tom Mitchell,9787560763835
Theory of Computation,Fundamentals of Theory of Computation,Bjarne Stroustrup,9784978698094
Basics of Electrical and Electronics Engineering,Handbook of Basics of Electrical and Electronics Engineering,Ken Thompson,9781843170006
Environmental Studies,Advanced Environmental Studies,Bruce Schneier,9784956003568
Data Structures,Fundamentals of Data Structures,Robert Lafore,9780125743471
Problem Solving through Programming,Practical Problem Solving through Programming,Robert Lafore,9786712638366
Numerical Methods,Essentials of Numerical Methods,Behrouz A. Forouzan,9782507930400
Software Engineering,Modern Software Engineering,Yashavant Kanetkar,9785343786347
Data Mining,Introduction to Data Mining,Tom Mitchell,9788257978723
Data Mining,Modern Data Mining,Judea Pearl,9783202715712
Engineering Chemistry,Fundamentals of Engineering Chemistry,Bjarne Stroustrup,9787336775987
Algebra,Principles of Algebra,Judea Pearl,9788034256808
Problem Solving through Programming,Fundamentals of Problem Solving through Programming,E. Balagurusamy,9789323485329
Data Structures,Fundamentals of Data Structures,Stuart Russell,9789422097515
Theory of Computation,Modern Theory of Computation,Abraham Silberschatz,9783476985897
Linear Algebra and Ordinary Differential Equations,Handbook of Linear Algebra and Ordinary Differential Equations,Ian Sommerville,9781633551664
Design and Analysis of Algorithms,Modern Design and Analysis of Algorithms,Herbert Schildt,9789426308754
Semiconductor Physics and Electromagnetics,Concepts of Semiconductor Physics and Electromagnetics,Thomas H. Cormen,9783529223440
Management Science,Essentials of Management Science,Keith W. Ross,9786938010120
Big Data Analytics,Essentials of Big Data Analytics,E. Balagurusamy,9785097518041
Cryptography and Network Security,Fundamentals of Cryptography and Network Security,H.K. Dass,9787900761125
Computer Organization and Architecture,Principles of Computer Organization and Architecture,Robert Lafore,9789152974407
Computer Organization and Architecture,Concepts of Computer Organization and Architecture,Abraham Silberschatz,9782027636349
Basics of Electrical and Electronics Engineering,Concepts of Basics of Electrical and Electronics Engineering,Donald E. Knuth,9786426192222
Web Technologies,Handbook of Web Technologies,Brian Kernighan,9788786216396
Environmental Studies,Essentials of Environmental Studies,Judea Pearl,9783460816633
Technical English Communication,Comprehensive Guide to Technical English Communication,James F. Kurose,9786283291205
Artificial Intelligence,Concepts of Artificial Intelligence,Tim Berners-Lee,9782961012773
Data Mining,Comprehensive Guide to Data Mining,Robert Lafore,9784400667490
Constitution of India,Introduction to Constitution of India,Erwin Kreyszig,9784005486427
Digital Logic Design,Essentials of Digital Logic Design,Ken Thompson,9786631717937
Computer Organization and Architecture,Introduction to Computer Organization and Architecture,Ramez Elmasri,9788235061935
Software Engineering,Modern Software Engineering,Bruce Schneier,9786354449061
Linear Algebra and Ordinary Differential Equations,Handbook of Linear Algebra and Ordinary Differential Equations,Tim Berners-Lee,9787205646172
Big Data Analytics,Advanced Big Data Analytics,Tom Mitchell,9787589322501
Web Technologies,Advanced Web Technologies,Peter Norvig,9787728907491
Cryptography and Network Security,Introduction to Cryptography and Network Security,Ian Sommerville,9789825871286
Web Technologies,Introduction to Web Technologies,Ken Thompson,9782352025368
Database Management Systems,Practical Database Management Systems,Erwin Kreyszig,9787561011737
Probability and Statistics,Essentials of Probability and Statistics,Tom Mitchell,9782845949997
Environmental Studies,Handbook of Environmental Studies,H.K. Dass,9786860271200
Operating Systems,Essentials of Operating Systems,Ken Thompson,9782128998155
Engineering Graphics,Practical Engineering Graphics,Robert Lafore,9786897207678
Big Data Analytics,Comprehensive Guide to Big Data Analytics,H.K. Dass,9780721573465
Database Management Systems,Fundamentals of Database Management Systems,Peter Norvig,9788715434822
